Date,Open,High,Low,Close,Adj Close,Volume
2016-03-21,27.555000,27.600000,27.520000,27.520000,27.028313,213200
2016-03-22,27.549999,27.575001,27.465000,27.495001,27.003759,100900
2016-03-23,27.315001,27.415001,27.315001,27.379999,26.890812,118700
2016-03-24,27.370001,27.370001,27.299999,27.320000,26.831884,133300
2016-03-28,27.410000,27.450001,27.340000,27.365000,26.876081,192500
2016-03-29,27.379999,27.719999,27.379999,27.690001,27.195276,93800
2016-03-30,27.700001,27.820000,27.690001,27.760000,27.264025,117600
2016-03-31,27.830000,27.900000,27.725000,27.870001,27.372063,1157100
2016-04-01,27.805000,27.920000,27.719999,27.885000,27.386793,4321300
2016-04-04,27.905001,27.969999,27.865000,27.900000,27.401522,773600
2016-04-05,27.900000,27.969999,27.844999,27.910000,27.411345,785500
2016-04-06,27.855000,28.035000,27.745001,27.955000,27.455540,337700
2016-04-07,27.955000,28.055000,27.950001,27.975000,27.475183,268800
2016-04-08,28.035000,28.125000,28.025000,28.090000,27.588127,122200
2016-04-11,28.110001,28.205000,28.055000,28.170000,27.666698,123400
2016-04-12,28.135000,28.135000,28.010000,28.080000,27.578306,484600
2016-04-13,28.000000,28.025000,27.924999,27.950001,27.450628,1419400
2016-04-14,27.905001,27.934999,27.850000,27.870001,27.372063,105500
2016-04-15,27.924999,28.055000,27.924999,28.010000,27.509560,332800
2016-04-18,27.969999,28.065001,27.955000,28.040001,27.539022,205800
2016-04-19,28.110001,28.200001,28.094999,28.129999,27.627411,226600
2016-04-20,28.090000,28.165001,27.990000,27.990000,27.489916,239600
2016-04-21,28.010000,28.040001,27.895000,27.900000,27.401522,202000
2016-04-22,27.745001,27.760000,27.629999,27.690001,27.195276,865300
2016-04-25,27.670000,27.719999,27.610001,27.629999,27.136347,208000
2016-04-26,27.805000,27.830000,27.680000,27.700001,27.205095,74100
2016-04-27,27.750000,27.820000,27.620001,27.725000,27.229647,138600
2016-04-28,27.955000,28.090000,27.945000,28.045000,27.543934,864400
2016-04-29,28.219999,28.295000,28.170000,28.295000,27.789463,89800
2016-05-02,28.360001,28.420000,28.325001,28.375000,27.868036,1874900
2016-05-03,28.495001,28.500000,28.330000,28.340000,27.833666,426700
2016-05-04,28.320000,28.334999,28.180000,28.275000,27.769819,264200
2016-05-05,28.219999,28.270000,28.120001,28.165001,27.661793,220300
2016-05-06,28.200001,28.250000,28.105000,28.150000,27.647058,106000
2016-05-09,28.080000,28.080000,27.969999,28.030001,27.529203,207300
2016-05-10,27.945000,28.030001,27.915001,27.975000,27.475183,100000
2016-05-11,28.004999,28.150000,28.004999,28.065001,27.563576,928600
2016-05-12,28.000000,28.065001,27.930000,27.985001,27.485006,487000
2016-05-13,27.920000,27.920000,27.785000,27.895000,27.396614,463400
2016-05-16,27.895000,27.924999,27.825001,27.850000,27.352413,179700
2016-05-17,27.820000,27.930000,27.820000,27.860001,27.362236,139400
2016-05-18,27.719999,27.770000,27.530001,27.555000,27.062687,234900
2016-05-19,27.500000,27.600000,27.500000,27.549999,27.057777,344000
2016-05-20,27.610001,27.629999,27.530001,27.555000,27.062687,730400
2016-05-23,27.540001,27.655001,27.540001,27.600000,27.106878,272400
2016-05-24,27.535000,27.570000,27.475000,27.485001,26.993937,1056200
2016-05-25,27.525000,27.635000,27.525000,27.625000,27.131435,718700
2016-05-26,27.795000,27.795000,27.670000,27.705000,27.210005,370700
2016-05-27,27.645000,27.730000,27.540001,27.600000,27.106878,3251800
2016-05-31,27.514999,27.615000,27.514999,27.535000,27.043043,331000
2016-06-01,27.655001,27.684999,27.584999,27.639999,27.146168,769100
2016-06-02,27.605000,27.764999,27.605000,27.750000,27.254202,403000
2016-06-03,28.000000,28.285000,28.000000,28.225000,27.720716,409600
2016-06-06,28.209999,28.290001,28.195000,28.235001,27.730536,178800
2016-06-07,28.334999,28.365000,28.270000,28.340000,27.833666,191200
2016-06-08,28.465000,28.500000,28.415001,28.450001,27.941694,1715400
2016-06-09,28.405001,28.480000,28.344999,28.360001,27.853302,147100
2016-06-10,28.355000,28.389999,28.209999,28.285000,27.779642,124900
2016-06-13,28.490000,28.490000,28.200001,28.240000,27.735445,611600
2016-06-14,28.195000,28.230000,28.139999,28.170000,27.666698,251300
2016-06-15,28.184999,28.430000,28.155001,28.285000,27.779642,161400
2016-06-16,28.235001,28.395000,28.190001,28.389999,27.882767,466100
2016-06-17,28.344999,28.469999,28.344999,28.455000,27.946609,160500
2016-06-20,28.504999,28.600000,28.504999,28.504999,27.995714,352900
2016-06-21,28.514999,28.525000,28.405001,28.430000,27.922052,384500
2016-06-22,28.475000,28.580000,28.450001,28.570000,28.059553,339900
2016-06-23,28.469999,28.650000,28.430000,28.580000,28.069372,274300
2016-06-24,28.365000,28.495001,28.254999,28.270000,27.764912,276500
2016-06-27,28.360001,28.375000,28.184999,28.320000,27.814022,301700
2016-06-28,28.395000,28.475000,28.360001,28.475000,27.966249,890600
2016-06-29,28.500000,28.650000,28.500000,28.549999,28.039909,289000
2016-06-30,28.570000,28.639999,28.450001,28.575001,28.064461,492500
2016-07-01,28.465000,28.870001,28.465000,28.735001,28.221607,642300
2016-07-05,28.735001,28.795000,28.629999,28.645000,28.133217,809400
2016-07-06,28.730000,28.809999,28.635000,28.705000,28.192142,293800
2016-07-07,28.785000,28.830000,28.660000,28.674999,28.162678,181200
2016-07-08,28.754999,28.840000,28.695000,28.820000,28.305086,490600
2016-07-11,28.600000,28.735001,28.590000,28.674999,28.162678,981000
2016-07-12,28.549999,28.605000,28.475000,28.504999,27.995714,298100
2016-07-13,28.600000,28.700001,28.570000,28.590000,28.079197,279100
2016-07-14,28.504999,28.670000,28.504999,28.605000,28.093925,166900
2016-07-15,28.415001,28.459999,28.330000,28.385000,27.877857,506000
2016-07-18,28.469999,28.469999,28.315001,28.360001,27.853302,186100
2016-07-19,28.230000,28.325001,28.160000,28.240000,27.735445,149000
2016-07-20,28.209999,28.230000,28.110001,28.150000,27.647058,219200
2016-07-21,28.150000,28.219999,28.075001,28.200001,27.696159,498300
2016-07-22,28.110001,28.285000,28.084999,28.170000,27.666698,127100
2016-07-25,28.115000,28.200001,28.100000,28.145000,27.642143,164700
2016-07-26,28.295000,28.350000,28.215000,28.245001,27.740356,113000
2016-07-27,28.174999,28.410000,28.174999,28.395000,27.887680,383600
2016-07-28,28.455000,28.514999,28.415001,28.440001,27.931873,209600
2016-07-29,28.690001,28.915001,28.690001,28.895000,28.378748,158900
