Date,Open,High,Low,Close,Adj Close,Volume
2016-03-21,206.250000,207.110001,205.960007,206.869995,194.045792,4764800
2016-03-22,205.919998,207.399994,205.729996,206.750000,193.933197,4603500
2016-03-23,205.130005,205.360001,204.050003,204.300003,192.677170,2981100
2016-03-24,203.050003,204.199997,202.770004,204.179993,192.564011,3317900
2016-03-28,204.669998,204.880005,203.750000,204.309998,192.686630,2277500
2016-03-29,203.809998,206.259995,203.429993,206.259995,194.525681,3918000
2016-03-30,206.259995,207.910004,206.259995,207.130005,195.346191,2760600
2016-03-31,206.960007,207.449997,206.380005,206.649994,194.893478,4606200
2016-04-01,205.410004,208.199997,205.050003,207.970001,196.138412,4127100
2016-04-04,207.919998,208.130005,206.949997,207.289993,195.497101,3051500
2016-04-05,205.750000,206.270004,204.929993,205.259995,193.582596,3063100
2016-04-06,205.339996,207.539993,205.020004,207.479996,195.676300,2896900
2016-04-07,206.220001,206.589996,204.130005,204.970001,193.309067,7193900
2016-04-08,206.380005,206.880005,204.919998,205.580002,193.884415,2432400
2016-04-11,206.300003,207.110001,204.949997,205.000000,193.337357,2745500
2016-04-12,205.270004,207.320007,204.750000,207.020004,195.242447,2311500
2016-04-13,208.050003,209.160004,207.910004,209.100006,197.204132,3197700
2016-04-14,209.139999,209.660004,208.679993,209.119995,197.222992,2510600
2016-04-15,209.119995,209.169998,208.479996,208.789993,196.911758,2828500
2016-04-18,208.199997,210.350006,208.070007,210.309998,198.345291,3461800
2016-04-19,210.809998,211.279999,210.020004,210.949997,198.948868,3401000
2016-04-20,211.029999,212.000000,210.479996,211.110001,199.099762,2458800
2016-04-21,211.210007,211.330002,209.729996,210.059998,198.109512,2969000
2016-04-22,209.639999,210.350006,209.000000,210.029999,198.081223,3286400
2016-04-25,209.369995,209.690002,208.610001,209.660004,197.732269,2767600
2016-04-26,210.130005,210.600006,209.449997,210.009995,198.062363,2230800
2016-04-27,209.509995,210.899994,209.139999,210.399994,198.430161,2817200
2016-04-28,209.550003,210.850006,208.029999,208.580002,196.713745,4416500
2016-04-29,207.809998,208.190002,206.100006,207.460007,195.657440,4362400
2016-05-02,208.009995,209.259995,207.479996,209.080002,197.185272,3478900
2016-05-03,207.550003,207.860001,206.360001,207.250000,195.459366,3407900
2016-05-04,206.050003,206.889999,205.479996,206.070007,194.346512,2469100
2016-05-05,206.589996,207.009995,205.509995,206.009995,194.289932,2174000
2016-05-06,205.130005,206.809998,204.940002,206.809998,195.044373,2383900
2016-05-09,206.630005,207.429993,206.429993,207.009995,195.233002,2841900
2016-05-10,207.789993,209.539993,207.720001,209.520004,197.600220,2881200
2016-05-11,208.979996,209.399994,207.570007,207.570007,195.761185,3116300
2016-05-12,208.360001,208.550003,206.440002,207.669998,195.855499,3347900
2016-05-13,207.250000,207.910004,205.440002,205.750000,194.044693,4859600
2016-05-16,206.000000,208.410004,205.949997,207.830002,196.006378,2636200
2016-05-17,207.520004,207.869995,205.289993,206.000000,194.280472,4338200
2016-05-18,205.479996,207.350006,204.690002,206.020004,194.299347,4255900
2016-05-19,205.080002,205.580002,203.800003,205.289993,193.610870,3841300
2016-05-20,205.990005,207.160004,205.899994,206.539993,194.789734,2658700
2016-05-23,206.550003,206.899994,206.039993,206.259995,194.525681,1833500
2016-05-24,207.250000,209.320007,207.199997,208.940002,197.053238,2616600
2016-05-25,209.750000,210.850006,209.710007,210.350006,198.383026,2453100
2016-05-26,210.559998,210.809998,210.050003,210.429993,198.458466,2010500
2016-05-27,210.610001,211.309998,210.559998,211.300003,199.278931,2489200
2016-05-31,211.660004,211.800003,210.270004,210.970001,198.967728,3590100
2016-06-01,210.250000,211.580002,209.990005,211.369995,199.344971,2873900
2016-06-02,210.910004,212.059998,210.330002,212.059998,199.995743,2994300
2016-06-03,211.339996,211.800003,209.979996,211.350006,199.326096,3327800
2016-06-06,211.820007,212.880005,211.619995,212.520004,200.429581,2977100
2016-06-07,212.660004,213.460007,212.619995,212.770004,200.665329,2590400
2016-06-08,212.940002,213.639999,212.809998,213.449997,201.306656,1625000
2016-06-09,212.619995,213.350006,212.320007,213.199997,201.070877,2154400
2016-06-10,211.580002,211.970001,210.539993,211.190002,199.175232,3253900
2016-06-13,210.479996,211.479996,209.440002,209.520004,197.600220,3659000
2016-06-14,209.119995,209.830002,208.000000,209.139999,197.241882,4763300
2016-06-15,209.630005,210.440002,208.600006,208.770004,196.892899,3853600
2016-06-16,207.809998,209.660004,206.649994,209.449997,197.534225,3751300
