Date,Open,High,Low,Close,Adj Close,Volume
2016-03-21,128.250000,128.619995,127.750000,128.070007,118.680367,5514800
2016-03-22,128.830002,129.020004,127.919998,128.039993,118.652519,4997900
2016-03-23,128.410004,129.820007,128.289993,129.490005,119.996223,10628200
2016-03-24,130.580002,130.639999,129.000000,129.539993,120.042557,6343300
2016-03-28,129.380005,130.160004,129.279999,129.710007,120.200089,5058700
2016-03-29,130.380005,131.089996,130.020004,131.070007,121.460373,9159200
2016-03-30,130.029999,130.070007,128.979996,129.690002,120.181572,8478700
2016-03-31,129.979996,130.809998,129.789993,130.610001,121.034134,7832300
2016-04-01,130.979996,131.130005,129.899994,130.679993,121.349808,9341400
2016-04-04,130.789993,130.970001,130.270004,130.759995,121.424126,5145100
2016-04-05,132.009995,132.360001,131.779999,132.190002,122.752037,6482800
2016-04-06,131.529999,131.669998,130.740005,131.229996,121.860588,6393700
2016-04-07,132.190002,132.990005,132.009995,132.850006,123.364914,5963300
2016-04-08,132.169998,132.399994,131.639999,132.009995,122.584846,5584800
2016-04-11,131.320007,132.179993,131.110001,131.839996,122.426994,4805500
2016-04-12,131.080002,131.550003,130.529999,130.929993,121.581985,4255700
2016-04-13,130.690002,131.580002,130.520004,131.389999,122.009117,5207900
2016-04-14,130.910004,131.309998,130.490005,130.759995,121.424126,5459000
2016-04-15,131.289993,132.160004,131.250000,131.880005,122.464165,5831100
2016-04-18,131.330002,131.440002,130.660004,131.309998,121.934868,4483300
2016-04-19,131.080002,131.309998,130.289993,130.899994,121.554108,5212200
2016-04-20,131.160004,131.649994,129.270004,129.460007,120.216934,10920700
2016-04-21,128.440002,129.070007,128.289993,128.690002,119.501907,11154200
2016-04-22,128.850006,128.910004,128.240005,128.360001,119.195473,5826400
2016-04-25,128.059998,128.520004,127.830002,127.830002,118.703300,5539500
2016-04-26,127.760002,127.760002,127.120003,127.250000,118.164726,7840000
2016-04-27,127.919998,128.820007,127.620003,128.520004,119.344063,8380100
2016-04-28,128.210007,129.139999,128.039993,129.050003,119.836197,7974600
2016-04-29,128.449997,129.710007,128.199997,129.380005,120.142639,7416300
2016-05-02,128.660004,128.899994,127.800003,127.820000,118.933022,11035200
2016-05-03,129.550003,130.020004,129.350006,129.429993,120.431076,10736700
2016-05-04,129.679993,130.169998,129.190002,130.139999,121.091713,7211200
2016-05-05,130.059998,131.070007,129.699997,131.009995,121.901215,7870400
2016-05-06,130.850006,130.860001,130.289993,130.449997,121.380173,7232500
2016-05-09,130.460007,130.889999,130.320007,130.860001,121.761650,4950800
2016-05-10,130.850006,131.119995,130.649994,130.869995,121.770973,4325100
2016-05-11,130.830002,132.000000,130.660004,131.610001,122.459503,9256000
2016-05-12,130.660004,131.169998,130.589996,131.009995,121.901215,6087400
2016-05-13,131.479996,132.320007,131.229996,132.279999,123.082977,8707300
2016-05-16,131.639999,131.660004,130.979996,131.139999,122.022171,5137000
2016-05-17,131.210007,131.830002,131.210007,131.360001,122.226921,4449100
2016-05-18,130.809998,130.850006,128.910004,129.490005,120.486923,12681000
2016-05-19,129.679993,130.330002,129.649994,130.050003,121.008003,6209400
2016-05-20,129.649994,130.399994,129.550003,130.149994,121.101021,5348900
2016-05-23,130.360001,130.729996,129.919998,130.440002,121.370895,6903200
2016-05-24,129.970001,130.190002,129.240005,129.860001,120.831200,5968200
2016-05-25,129.830002,130.250000,129.309998,129.369995,120.375275,6367400
2016-05-26,129.809998,130.449997,129.800003,130.039993,120.998672,5327900
2016-05-27,130.070007,130.259995,129.699997,129.850006,120.821899,5267600
2016-05-31,129.020004,130.440002,128.979996,130.160004,121.110352,8344300
2016-06-01,130.630005,131.270004,130.110001,130.419998,121.601715,9874900
2016-06-02,130.899994,131.690002,130.869995,131.360001,122.478157,5835400
2016-06-03,132.860001,133.229996,132.600006,133.229996,124.221718,11077200
2016-06-06,132.779999,132.889999,132.100006,132.240005,123.298607,7573700
2016-06-07,132.639999,132.979996,132.539993,132.559998,123.597023,4680200
2016-06-08,132.869995,133.429993,132.710007,133.270004,124.259018,5313200
2016-06-09,134.320007,134.539993,133.929993,134.130005,125.060844,6820300
2016-06-10,134.789993,135.330002,134.259995,134.779999,125.666885,6984600
2016-06-13,135.089996,135.389999,134.770004,135.380005,126.226326,7688900
2016-06-14,136.190002,136.220001,135.220001,135.279999,126.133072,9012500
2016-06-15,135.520004,136.229996,135.309998,135.800003,126.617928,7953200
2016-06-16,136.740005,137.559998,136.179993,136.460007,127.233307,10372700
2016-06-17,136.199997,136.270004,135.259995,135.610001,126.440781,8489900
2016-06-20,134.240005,134.550003,134.009995,134.160004,125.088821,7365900
2016-06-21,134.289993,134.580002,133.460007,133.539993,124.510735,6005800
2016-06-22,133.500000,133.990005,133.250000,133.759995,124.715897,5773700
2016-06-23,132.610001,133.320007,132.080002,132.229996,123.289322,9029100
2016-06-24,136.610001,136.610001,135.300003,135.779999,126.599304,17155000
2016-06-27,138.440002,139.589996,138.399994,139.169998,129.760101,16577100
2016-06-28,139.440002,139.899994,138.880005,139.460007,130.030502,14006400
2016-06-29,139.679993,140.130005,138.259995,138.389999,129.032806,12999800
2016-06-30,138.809998,139.940002,138.089996,138.899994,129.508362,14698500
2016-07-01,140.809998,140.820007,139.190002,140.570007,131.306473,15430200
2016-07-05,141.850006,142.910004,141.699997,142.330002,132.950455,8840800
2016-07-06,142.789993,143.000000,141.960007,142.559998,133.165329,14352800
2016-07-07,142.089996,143.190002,141.779999,142.550003,133.155991,8601000
2016-07-08,142.919998,143.619995,142.360001,143.600006,134.136810,10355300
2016-07-11,143.050003,143.470001,142.240005,142.339996,132.959839,8099000
2016-07-12,140.419998,140.860001,139.639999,140.000000,130.774017,15810600
2016-07-13,141.369995,141.770004,140.949997,141.649994,132.315292,8181700
2016-07-14,139.279999,139.839996,139.089996,139.589996,130.391037,10817000
2016-07-15,138.889999,139.110001,138.179993,138.389999,129.270157,9958600
2016-07-18,139.070007,139.259995,137.729996,138.259995,129.148697,5955900
2016-07-19,138.940002,139.309998,138.399994,139.039993,129.877335,8073900
2016-07-20,138.229996,138.509995,137.910004,138.279999,129.167374,6942500
2016-07-21,137.039993,138.619995,136.990005,138.559998,129.428955,10398400
2016-07-22,137.929993,139.240005,137.869995,138.800003,129.653107,5811400
2016-07-25,138.940002,139.259995,138.589996,138.699997,129.559799,4243800
2016-07-26,139.520004,139.520004,138.460007,138.919998,129.765213,5243400
2016-07-27,139.550003,140.649994,139.399994,140.649994,131.381195,8061300
2016-07-28,139.800003,140.839996,139.710007,140.389999,131.138321,7336100
2016-07-29,140.449997,141.679993,140.220001,141.559998,132.231232,8766700
2016-08-01,139.779999,140.500000,139.610001,139.770004,130.797592,9809300
2016-08-02,137.830002,139.259995,137.500000,138.330002,129.450043,10051200
2016-08-03,138.600006,138.779999,137.910004,138.410004,129.524872,4930600
2016-08-04,139.460007,140.160004,139.270004,139.449997,130.498108,5313100
2016-08-05,139.050003,139.179993,137.820007,138.000000,129.141174,7778600
2016-08-08,137.600006,138.539993,137.320007,138.259995,129.384506,5185200
2016-08-09,138.710007,139.720001,138.619995,139.619995,130.657196,5503200
2016-08-10,139.899994,140.509995,139.470001,140.160004,131.162521,5843500
2016-08-11,140.059998,140.080002,138.539993,138.910004,129.992798,7036700
2016-08-12,140.410004,140.860001,139.869995,140.080002,131.087692,7989600
2016-08-15,139.339996,139.630005,138.750000,138.759995,129.852432,5108600
2016-08-16,138.979996,139.149994,138.229996,138.389999,129.506180,6182700
2016-08-17,138.630005,139.440002,138.500000,139.220001,130.282883,5002000
2016-08-18,139.199997,139.759995,138.789993,139.440002,130.488754,3805200
2016-08-19,138.639999,139.050003,138.100006,138.710007,129.805557,5516300
2016-08-22,139.649994,140.139999,139.369995,139.880005,130.900543,5549700
2016-08-23,140.270004,140.589996,139.669998,140.029999,131.040878,6841400
2016-08-24,140.100006,140.190002,139.389999,139.699997,130.732132,6027800
2016-08-25,139.259995,139.779999,138.960007,139.169998,130.236145,5855500
2016-08-26,139.729996,140.690002,138.220001,138.360001,129.478134,12962500
2016-08-29,139.380005,140.350006,139.210007,140.210007,131.209351,6957200
2016-08-30,140.169998,140.259995,139.669998,139.669998,130.703995,5161800
2016-08-31,139.660004,140.169998,139.339996,139.869995,130.891129,7349700
2016-09-01,138.619995,140.100006,138.570007,139.770004,131.035553,9149100
2016-09-02,138.960007,139.050003,138.169998,138.630005,129.966827,8397000
2016-09-06,138.710007,140.080002,138.509995,139.639999,130.913620,8542600
2016-09-07,140.369995,140.419998,139.539993,139.539993,130.819916,5421800
2016-09-08,138.860001,139.270004,137.259995,137.789993,129.179276,13596100
2016-09-09,136.070007,136.119995,135.410004,135.520004,127.051163,13347700
2016-09-12,135.320007,135.830002,135.160004,135.589996,127.116737,9096600
2016-09-13,135.869995,136.000000,133.360001,134.050003,125.672966,15645400
2016-09-14,134.050003,134.910004,134.050003,134.250000,125.860519,7037700
2016-09-15,133.610001,134.050003,133.029999,133.669998,125.316727,9874500
2016-09-16,134.580002,134.809998,134.220001,134.750000,126.329231,7507900
2016-09-19,134.520004,134.869995,134.250000,134.309998,125.916763,7000300
2016-09-20,135.149994,135.580002,134.669998,134.779999,126.357353,6054800
2016-09-21,134.600006,135.889999,134.179993,135.869995,127.379257,10698100
2016-09-22,136.669998,137.289993,136.500000,136.949997,128.391754,12426200
2016-09-23,137.029999,137.339996,136.710007,136.820007,128.269943,5928800
2016-09-26,137.070007,137.830002,137.020004,137.690002,129.085541,8661300
2016-09-27,138.589996,138.800003,137.949997,138.699997,130.032440,9450400
2016-09-28,138.500000,139.149994,138.220001,138.399994,129.751175,7958700
2016-09-29,137.559998,139.070007,137.449997,138.750000,130.079269,8319800
2016-09-30,138.550003,138.639999,136.869995,137.509995,128.916748,11747100
2016-10-03,137.679993,137.770004,136.759995,136.809998,128.491318,7588800
2016-10-04,136.619995,136.839996,135.160004,135.210007,126.988609,12048700
2016-10-05,135.020004,135.080002,134.119995,134.580002,126.396904,8917700
2016-10-06,133.970001,134.690002,133.679993,133.830002,125.692497,7839900
2016-10-07,133.929993,134.289993,133.089996,133.919998,125.777023,9953200
2016-10-10,132.850006,133.160004,132.509995,133.130005,125.035065,6086900
2016-10-11,132.860001,133.550003,132.570007,132.830002,124.753319,9670400
2016-10-12,132.669998,133.020004,132.240005,132.960007,124.875397,7582400
2016-10-13,133.639999,133.929993,133.369995,133.460007,125.345032,7080600
2016-10-14,132.270004,132.949997,131.529999,131.589996,123.588692,11415100
2016-10-17,132.100006,132.740005,132.089996,132.429993,124.377640,10595900
2016-10-18,131.860001,132.889999,131.830002,132.860001,124.781532,6935200
2016-10-19,132.369995,133.270004,132.320007,132.970001,124.884819,6941300
2016-10-20,133.639999,133.750000,132.899994,133.110001,125.016296,6082300
2016-10-21,133.520004,133.720001,132.869995,133.309998,125.204132,9222700
2016-10-24,133.410004,133.449997,132.289993,132.729996,124.659393,6507500
2016-10-25,132.529999,133.559998,132.490005,133.080002,124.988106,5134700
2016-10-26,132.460007,132.800003,131.990005,132.179993,124.142822,5842500
2016-10-27,131.070007,131.070007,130.059998,130.740005,122.790405,10044700
2016-10-28,130.389999,130.929993,130.330002,130.449997,122.518021,7541000
2016-10-31,130.889999,131.289993,130.710007,131.250000,123.269409,7047500
2016-11-01,130.160004,131.600006,129.880005,131.009995,123.278786,12622400
2016-11-02,131.300003,132.110001,131.029999,131.580002,123.815163,8666200
2016-11-03,130.750000,131.050003,130.440002,130.570007,122.864769,6085400
2016-11-04,131.270004,131.789993,131.130005,131.740005,123.965736,7622600
2016-11-07,130.750000,131.000000,130.440002,130.619995,122.911804,5386700
2016-11-08,131.020004,131.210007,129.710007,130.089996,122.413071,7318500
2016-11-09,127.220001,127.370003,124.220001,124.570000,117.218826,31233500
2016-11-10,123.970001,124.959999,122.720001,122.730003,115.487419,22961200
2016-11-11,122.959999,123.050003,121.650002,122.040001,114.838135,10040200
2016-11-14,121.279999,122.660004,120.730003,121.309998,114.151207,20071500
2016-11-15,122.220001,122.809998,121.779999,121.910004,114.715820,11963700
2016-11-16,122.300003,123.139999,122.169998,123.010002,115.750900,8874000
2016-11-17,121.949997,122.110001,120.989998,121.199997,114.047722,11221600
2016-11-18,121.629997,121.970001,120.339996,120.849998,113.718369,13577700
2016-11-21,121.209999,121.480003,120.889999,121.150002,114.000671,6488100
2016-11-22,121.660004,121.760002,120.879997,121.110001,113.962997,9989900
2016-11-23,119.989998,120.910004,119.250000,120.639999,113.520737,13388600
2016-11-25,121.190002,121.290001,120.400002,120.820000,113.690155,3126300
2016-11-28,121.410004,121.730003,121.089996,121.709999,114.527603,8555000
2016-11-29,121.440002,122.400002,121.209999,122.220001,115.007515,8363000
2016-11-30,119.970001,121.010002,119.480003,120.239998,113.144371,21163500
2016-12-01,118.510002,118.989998,117.639999,118.730003,111.949730,21715700
2016-12-02,119.169998,120.209999,119.139999,119.599998,112.770027,12487500
2016-12-05,118.930000,120.400002,118.449997,119.470001,112.647453,12100100
